"y1","y2","x1","x2","x3","z1","z2","c1","c2","c3"
0.738187112703069,0.00478373386631172,0.01,0.01,0.98,1,1,1,0,0
0.73988841308752,0.00495960799839005,0.01,0.98,0.01,1,1,1,0,0
0.704238933947342,0.00158050618147634,0.98,0.01,0.01,1,1,1,0,0
0.85344620937845,0.00102422280329327,0.01,0.495,0.495,1,1,1,0,0
0.835050625322055,0.00227112318161207,0.495,0.01,0.495,1,1,1,0,0
0.842467600244726,0.00292735198973347,0.495,0.495,0.01,1,1,1,0,0
0.906996490676182,6.92307759405477e-05,0.33,0.33,0.34,1,1,1,0,0
0.717612060806489,0.00168899143479664,0.01,0.01,0.98,0,1,1,0,0
0.650303790188927,0.00612852172317474,0.01,0.98,0.01,0,1,1,0,0
0.45149494742508,0.00176559472275384,0.98,0.01,0.01,0,1,1,0,0
0.799851531841567,0.0021932689455249,0.01,0.495,0.495,0,1,1,0,0
0.780924342435352,0.00367898918521306,0.495,0.01,0.495,0,1,1,0,0
0.706165267217597,0.0263860856967065,0.495,0.495,0.01,0,1,1,0,0
0.852861212399183,5.03506034451295e-05,0.33,0.33,0.34,0,1,1,0,0
0.881804054721199,0.0107704915822218,0.01,0.01,0.98,1,0,1,0,0
0.780549832048426,0.0575310403736591,0.01,0.98,0.01,1,0,1,0,0
0.758707346404104,0.0790380355590455,0.98,0.01,0.01,1,0,1,0,0
0.87124192143211,0.0124794593023839,0.01,0.495,0.495,1,0,1,0,0
0.882542857484245,0.0106909768106772,0.495,0.01,0.495,1,0,1,0,0
0.864175048311175,0.0138826626325964,0.495,0.495,0.01,1,0,1,0,0
0.913575093499287,0.00559537044367697,0.33,0.33,0.34,1,0,1,0,0
0.854298970380149,0.0120745290422167,0.01,0.01,0.98,0,0,1,0,0
0.510363014939599,0.0232282227512834,0.01,0.98,0.01,0,0,1,0,0
0.43749781447873,0.00296310693288411,0.98,0.01,0.01,0,0,1,0,0
0.880449332365642,0.0106943876196591,0.01,0.495,0.495,0,0,1,0,0
0.816650687278752,0.0254699756496111,0.495,0.01,0.495,0,0,1,0,0
0.608434983082709,0.0084890770844201,0.495,0.495,0.01,0,0,1,0,0
0.887195493400849,0.00879023869433539,0.33,0.33,0.34,0,0,1,0,0
0.746164355949223,0.00409092539057418,0.01,0.01,0.98,1,1,1,0,0
0.740889335934647,0.00476099465976203,0.01,0.98,0.01,1,1,1,0,0
0.697983007880093,0.00218709279959812,0.98,0.01,0.01,1,1,1,0,0
0.851253291558583,0.00131320874457676,0.01,0.495,0.495,1,1,1,0,0
0.831737386187316,0.00276329790934302,0.495,0.01,0.495,1,1,1,0,0
0.842561987668075,0.00309071552217586,0.495,0.495,0.01,1,1,1,0,0
0.906979792284456,3.72833200630554e-05,0.33,0.33,0.34,1,1,1,0,0
0.69123006135432,0.00103715327145183,0.01,0.01,0.98,0,1,1,0,0
0.641548681239695,0.00857821498674111,0.01,0.98,0.01,0,1,1,0,0
0.465675207991632,0.000888246520244123,0.98,0.01,0.01,0,1,1,0,0
0.791639026085391,0.00292796395707205,0.01,0.495,0.495,0,1,1,0,0
0.781345751083681,0.00416573571750798,0.495,0.01,0.495,0,1,1,0,0
0.718632626377331,0.0192131794554292,0.495,0.495,0.01,0,1,1,0,0
0.848082847341568,5.76197117090574e-05,0.33,0.33,0.34,0,1,1,0,0
0.876051171469556,0.0123846015435672,0.01,0.01,0.98,1,0,1,0,0
0.769206960749568,0.0640460923034896,0.01,0.98,0.01,1,0,1,0,0
0.747409769832947,0.0899097500553294,0.98,0.01,0.01,1,0,1,0,0
0.880143369658559,0.0107830657476248,0.01,0.495,0.495,1,0,1,0,0
0.872605856621265,0.0127188215077397,0.495,0.01,0.495,1,0,1,0,0
0.863080606038069,0.0140473954531545,0.495,0.495,0.01,1,0,1,0,0
0.914307299539216,0.00549747260478847,0.33,0.33,0.34,1,0,1,0,0
0.841293581118471,0.0140507861044747,0.01,0.01,0.98,0,0,1,0,0
0.512087154608467,0.0461214657146394,0.01,0.98,0.01,0,0,1,0,0
0.442795218578211,0.00290575314125359,0.98,0.01,0.01,0,0,1,0,0
0.866593098736824,0.0134656357718768,0.01,0.495,0.495,0,0,1,0,0
0.833445598985876,0.0210387126720618,0.495,0.01,0.495,0,0,1,0,0
0.592505959833399,0.0178964425905792,0.495,0.495,0.01,0,0,1,0,0
0.88234787708948,0.00944445847374109,0.33,0.33,0.34,0,0,1,0,0
0.729102813601613,0.00458610044876914,0.01,0.01,0.98,1,1,1,0,0
0.739027406968725,0.00492362124587958,0.01,0.98,0.01,1,1,1,0,0
0.683049249765762,0.00475563752324522,0.98,0.01,0.01,1,1,1,0,0
0.849256335429775,0.00138114347266715,0.01,0.495,0.495,1,1,1,0,0
0.832987683864036,0.00239957587343259,0.495,0.01,0.495,1,1,1,0,0
0.83948793478115,0.00332004287048145,0.495,0.495,0.01,1,1,1,0,0
0.906714655910237,5.03135221456391e-05,0.33,0.33,0.34,1,1,1,0,0
0.70261965987466,0.00256474189154503,0.01,0.01,0.98,0,1,1,0,0
0.646847312696766,0.00665794985907971,0.01,0.98,0.01,0,1,1,0,0
0.451927414541256,0.00174087659958223,0.98,0.01,0.01,0,1,1,0,0
0.790786459516419,0.00241713649407861,0.01,0.495,0.495,0,1,1,0,0
0.796820749734398,0.00283285110675455,0.495,0.01,0.495,0,1,1,0,0
0.719681096391961,0.0196405547861906,0.495,0.495,0.01,0,1,1,0,0
0.854822775062295,6.7624410156545e-06,0.33,0.33,0.34,0,1,1,0,0
0.884832684703416,0.0101961564167094,0.01,0.01,0.98,1,0,1,0,0
0.783737400612074,0.0550942862143911,0.01,0.98,0.01,1,0,1,0,0
0.751712465240627,0.0809019747036781,0.98,0.01,0.01,1,0,1,0,0
0.885472275656149,0.00984556409197274,0.01,0.495,0.495,1,0,1,0,0
0.871627003061966,0.0128659441583983,0.495,0.01,0.495,1,0,1,0,0
0.863121411798875,0.0139208773134244,0.495,0.495,0.01,1,0,1,0,0
0.915195984593764,0.00538761906016155,0.33,0.33,0.34,1,0,1,0,0
0.858711974064957,0.0126677304854276,0.01,0.01,0.98,0,0,1,0,0
0.518696155960505,0.0375467090379786,0.01,0.98,0.01,0,0,1,0,0
0.437018047899122,0.00297691097349843,0.98,0.01,0.01,0,0,1,0,0
0.87614753921013,0.0113553532492925,0.01,0.495,0.495,0,0,1,0,0
0.829635581785892,0.0217330907340416,0.495,0.01,0.495,0,0,1,0,0
0.627216380175591,0.00616678460712384,0.495,0.495,0.01,0,0,1,0,0
0.891695243044491,0.00805031519915865,0.33,0.33,0.34,0,0,1,0,0
0.807901353824864,1.13081829359533e-05,0.01,0.01,0.98,1,1,0,1,0
